snagid,site,plotid,group,crown,xc,yc,z_m,elev,trasp,slope,spp,dbh,ht,top,bark,branches,fungi,intensity,forage,insects,cavsum,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,p1th,p2th,p3th,p4th,p5th,n,area,ptd,zcv,rumple,top.rugosity,deepgap.fraction,cover.fraction,ENTmid,GFPall,GFPmid,LADm,LADcv,VAI,VCI,overcanopy,cat
BR210A_WL03,cda,BR210A,SB,NO,539172.9792,5283351.551,1514.83,1528.443994140625,0.002787912995013797,0.25255184159855193,WL,0.27,18.4,BT,SOME,N,N,S,N,Y,0,14.99,7.505416666666667,3.9322782949140924,0.2112860181190608,1.6655728403015464,0.7896879004073637,41.66666666666667,95.83333333333334,2.208,2.4379999999999997,3.004500000000001,4.134,4.220000000000001,4.51,5.201000000000002,5.69,6.200500000000002,6.970000000000001,7.1425,7.7940000000000005,8.656500000000005,11.544000000000002,11.830000000000002,12.072000000000001,12.528500000000001,12.607,12.8285,0,17.02127659574468,29.78723404255319,44.680851063829785,59.57446808510638,68.08510638297872,68.08510638297872,78.72340425531915,100,83.33333333333334,14.583333333333334,2.083333333333333,0,0,48,5.977999998892657,1.92,1.9086687420811441,1.7195362615704488,2.6495291091059934,0.875,0.125,0.7138536698972482,0.8053228046205659,0.8053228046205659,0.45400769004970654,0.8793570252956346,3.1780538303479458,0.48801950690683005,-3.4099999999999984,small
BR210A_WL04,cda,BR210A,LB,NO,539173.4856,5283354.334,1509.24,1528.443994140625,0.002787912995013797,0.25255184159855193,WL,0.45,30,BT,NONE,N,N,N,Y,Y,0,27.07,11.621264367816092,8.918181961050095,0.36816096072986143,1.4499440525961877,0.8395979876162185,45.97701149425287,91.95402298850574,1.6430000000000002,2.218,2.475,2.782,3.4124999999999996,3.9610000000000003,4.4415000000000004,5.660000000000001,6.159500000000001,7.635,11.838500000000002,12.778,15.411000000000003,19.981,22.1725,22.72,23.352,23.840000000000003,24.614,19.07514450867052,39.30635838150289,52.02312138728323,54.335260115606935,62.42774566473988,65.89595375722543,67.05202312138728,72.25433526011561,92.48554913294798,74.13793103448276,21.839080459770116,4.022988505747127,0,0,174,21.359999998947604,6.96,1.3030979204698483,6.279261798016809,6.79106646241735,0.52,0.48,0.8116344917268283,0.8993042123127613,0.8745349594608707,0.19384599766148233,0.5394579989196546,2.5199979695992702,0.6384516650198314,-2.9299999999999997,large
BR210B_DF01,cda,BR210B,LB,NO,535974.0272,5285298.786,1354.53,1312.8424682617188,0.8396402132591914,0.2783737370903703,DF,0.45,13.3,BT,FULL,N,N,S,Y,Y,0,35.4,19.77296803652968,7.465063636386761,-0.04730901461553348,2.0865993946345434,0.8672399421224637,53.88127853881278,100,8.647,9.076,9.817,12.655999999999999,13.545,14.363999999999999,15.856000000000005,18.131999999999998,19.673000000000002,21.330000000000002,21.638,22.044000000000004,23.19,24.168000000000003,25.75,26.582,28.175,29.26000000000001,31.527,0,2.293577981651376,16.972477064220186,29.357798165137616,37.61467889908257,50,71.55963302752295,87.61467889908258,95.87155963302753,60.73059360730594,28.767123287671232,7.76255707762557,2.73972602739726,0,219,22.49680000112094,8.76,2.6487340228622873,3.37726679364043,3.475537072102733,0.6111111111111112,0.38888888888888884,0.785634286963545,0.8096723772727031,0.6859243413608791,0.2934952843285347,0.6668481446677398,4.695924549256556,0.7092085502608351,22.099999999999998,large
BR210B_DF02,cda,BR210B,LB,NO,535962,5285266.814,1294.65,1312.8424682617188,0.8396402132591914,0.2783737370903703,DF,0.41,9.4,BT,SOME,N,N,S,Y,Y,0,34.68,17.162719836400818,9.528962181227584,0.22641646704280238,1.706849450082344,0.9253734625228548,48.670756646216766,98.97750511247445,3.8680000000000003,5.724,6.952,7.932,8.78,9.484,10.218,10.846000000000005,14.076,15.82,18.76,19.426000000000005,22.164,23.916000000000004,25.68,27.68,28.700000000000003,30.418000000000013,32.836,2.2540983606557377,14.959016393442623,37.09016393442623,44.057377049180324,51.4344262295082,62.704918032786885,71.10655737704917,80.73770491803279,90.3688524590164,60.122699386503065,31.492842535787318,7.975460122699387,0.408997955010225,0,489,23.71680000391491,19.56,1.8011111294168032,6.278379168257531,8.376110834318705,0.6111111111111112,0.38888888888888884,0.8965173420122531,0.8721281886465121,0.7893535496894535,0.2695837986494572,0.630906761116114,4.582924577040772,0.7507998057568238,25.28,large
BR210B_DF03,cda,BR210B,LB,NO,535957.2331,5285261.449,1293.35,1312.8424682617188,0.8396402132591914,0.2783737370903703,DF,0.45,3.1,BT,FULL,N,Y,L,Y,Y,1,33,15.34872852233677,12.787072651645472,0.10947911043416526,1.1584428235499356,0.7067647176638063,48.10996563573883,93.12714776632302,1.9100000000000001,2.12,2.19,2.34,2.5250000000000004,2.69,2.8900000000000006,3.33,4.285,13.89,20.744999999999997,25.67000000000001,27.055,27.810000000000006,28.035000000000004,28.84,29.86,31.600000000000005,32.215,39.6551724137931,48.275862068965516,48.62068965517241,48.62068965517241,52.41379310344828,52.41379310344828,57.58620689655172,63.10344827586207,81.72413793103449,81.78694158075601,15.807560137457044,2.0618556701030926,0.3436426116838488,0,291,15.917400000449177,11.64,1.2003316897055136,7.1678023445361605,6.690512139922059,0.625,0.375,0.4615301297408994,0.9293700607138403,0.9098813762013208,0.16734943710109385,0.37046741249724924,2.6775909936175015,0.5672358325179675,29.9,large
BR210B_GF02,cda,BR210B,SB,NO,535975.7694,5285283.904,1299.89,1312.8424682617188,0.8396402132591914,0.2783737370903703,GF,0.38,3,BT,FULL,N,N,S,Y,Y,0,21.73,15.67,5.910074701619549,-1.0017406692783626,2.8703835831672886,0.5528942440920374,66.66666666666666,100,3.5005,4.607,11.326500000000001,11.472000000000001,11.537500000000001,14.097999999999999,17.557000000000002,17.637999999999998,17.6715,17.695,17.71,17.756,17.8065,17.95,20.577500000000008,21.552,21.5895,21.625,21.6765,0,8.51063829787234,14.893617021276595,14.893617021276595,14.893617021276595,29.78723404255319,34.04255319148936,34.04255319148936,74.46808510638297,70.83333333333334,27.083333333333332,2.083333333333333,0,0,48,9.98200000207359,1.92,2.6514047268651137,4.558019861631876,5.87632755922722,0.75,0.25,0.4813643323341558,0.8098194785694786,0.7932748538011696,0.3080654135821979,0.8405777267317387,2.772588722239781,0.39000666202777007,18.73,small
BR210B_GF03,cda,BR210B,SB,YES,535977.9856,5285277.249,1306.27,1312.8424682617188,0.8396402132591914,0.2783737370903703,GF,0.27,10.9,BT,FULL,M,Y,S,Y,Y,0,30.93,10.148897338403042,9.897079023983673,1.0725237028336563,2.5527404298550427,0.7281786244723097,25.09505703422053,88.97338403041825,1.701,1.94,2.1830000000000003,2.4720000000000004,2.645,2.79,3.06,3.5980000000000003,4.393000000000001,6.88,7.833000000000001,8.410000000000002,8.91,9.308,10.185000000000011,21.412000000000003,25.667,29.012,30.159,35.87786259541985,48.47328244274809,69.46564885496183,75.95419847328245,75.95419847328245,75.95419847328245,80.53435114503817,81.29770992366412,88.93129770992367,84.4106463878327,14.82889733840304,0.38022813688212925,0.38022813688212925,0,263,24.2063000032702,10.52,1.0254437004907342,6.9258605438576835,9.542303991025587,0.5833333333333334,0.41666666666666663,0.6660312647221888,0.9214769934953779,0.8861858513908885,0.1469905468127527,0.4218595884955056,2.2048582021912906,0.5706391785096034,20.03,small
BR210B_GF04,cda,BR210B,SB,NO,535983.5975,5285267.281,1293.56,1312.8424682617188,0.8396402132591914,0.2783737370903703,GF,0.37,15.5,BT,FULL,N,Y,S,N,Y,0,23.81,11.379513274336283,3.6957690202357236,0.23045070848895996,3.672858371193517,0.7245913855327091,37.16814159292036,99.5575221238938,5.27,6.675000000000001,8.93,9.450000000000001,10.015,10.200000000000001,10.290000000000001,10.38,10.5925,11.024999999999999,11.16,11.24,11.5325,12.254999999999999,12.680000000000003,13.89,16.185,16.27,18.2,0.8888888888888888,3.111111111111111,12.88888888888889,20.444444444444446,68.44444444444444,81.33333333333333,92,99.55555555555556,99.55555555555556,57.07964601769911,34.070796460176986,7.52212389380531,1.3274336283185841,0,226,15.3260000007411,9.04,3.0790650638687573,3.521960075240821,3.994898329953675,0.6,0.4,0.7564309052975414,0.8122246311667493,0.7632768616424994,0.49277590902475327,0.8112492757467973,5.420534999272286,0.5255080856898372,8.309999999999999,small
BR210B_GF05,cda,BR210B,LB,YES,535968.0177,5285276.076,1289.23,1312.8424682617188,0.8396402132591914,0.2783737370903703,GF,0.45,3.6,BT,SOME,M,N,L,Y,Y,0,32.42,27.83823943661972,2.8473845904783035,-0.23583742679825792,2.750683957445053,0.5746952582623363,38.028169014084504,100,21.523000000000003,25.21,25.26,25.360000000000003,26.2425,26.412,26.633499999999998,27.064,27.229,27.39,27.571000000000005,27.708,29.419500000000003,30.068000000000005,30.587500000000002,30.686000000000003,30.7685,32.028000000000006,32.3495,0,0,0,0,0,0,5.673758865248227,24.113475177304963,64.53900709219857,80.98591549295774,19.014084507042252,0,0,0,142,7.5429000010054095,5.68,9.776775336114133,1.8996942983327665,1.6286670418883449,0.8125,0.1875,NA,0.31004355889131735,0,0.47939758598690413,0.8112975761434077,2.8763855159214247,0.4585609544572601,28.82,large
BR210B_GF06,cda,BR210B,SB,NO,535962.569,5285271.819,1296.03,1312.8424682617188,0.8396402132591914,0.2783737370903703,GF,0.36,5.2,BT,FULL,N,Y,S,Y,Y,1,27.060000000000002,16.590592592592593,8.358571055747182,-0.2775368337536787,1.5501464699606893,0.7531719568405117,50.37037037037037,99.25925925925925,3.608,3.834,5.007000000000003,7.652,9.765,10.704,13.16100000000001,13.546000000000001,13.780000000000001,18.44,20.437,23.270000000000003,24.400000000000002,24.538,24.595,24.631999999999998,24.708000000000002,26.11,26.444000000000003,1.4925373134328357,15.671641791044776,20.8955223880597,32.08955223880597,38.80597014925373,50,52.23880597014925,57.46268656716418,63.43283582089552,74.81481481481481,21.48148148148148,3.7037037037037033,0,0,135,17.421199997274623,5.4,1.984859909898743,4.53734293291239,4.865064361146236,0.65,0.35,0.7418324613143767,0.8627018545811517,0.8338945213882537,0.3773288291106484,0.5049154187303149,4.90527477843843,0.5727311129655458,21.860000000000003,small
