snagid,site,plotid,group,crown,xc,yc,z_m,spp,dbh,ht,top,bark,branches,fungi,intensity,forage,insects,cavsum
BR210A_WL03,cda,BR210A,SB,NO,539172.9792,5283351.551,1514.83,WL,0.27,18.4,BT,SOME,N,N,S,N,Y,0
BR210A_WL04,cda,BR210A,LB,NO,539173.4856,5283354.334,1509.24,WL,0.45,30,BT,NONE,N,N,N,Y,Y,0
BR210B_DF01,cda,BR210B,LB,NO,535974.0272,5285298.786,1354.53,DF,0.45,13.3,BT,FULL,N,N,S,Y,Y,0
BR210B_DF02,cda,BR210B,LB,NO,535962,5285266.814,1294.65,DF,0.41,9.4,BT,SOME,N,N,S,Y,Y,0
BR210B_DF03,cda,BR210B,LB,NO,535957.2331,5285261.449,1293.35,DF,0.45,3.1,BT,FULL,N,Y,L,Y,Y,1
BR210B_GF02,cda,BR210B,SB,NO,535975.7694,5285283.904,1299.89,GF,0.38,3,BT,FULL,N,N,S,Y,Y,0
BR210B_GF03,cda,BR210B,SB,YES,535977.9856,5285277.249,1306.27,GF,0.27,10.9,BT,FULL,M,Y,S,Y,Y,0
BR210B_GF04,cda,BR210B,SB,NO,535983.5975,5285267.281,1293.56,GF,0.37,15.5,BT,FULL,N,Y,S,N,Y,0
BR210B_GF05,cda,BR210B,LB,YES,535968.0177,5285276.076,1289.23,GF,0.45,3.6,BT,SOME,M,N,L,Y,Y,0
BR210B_GF06,cda,BR210B,SB,NO,535962.569,5285271.819,1296.03,GF,0.36,5.2,BT,FULL,N,Y,S,Y,Y,1
BR210B_GF07,cda,BR210B,SI,YES,535958.5542,5285266.125,1282.37,GF,0.4,23.3,INTACT,FULL,V,Y,S,N,N,0
BR210B_GF09,cda,BR210B,SB,NO,535947.0444,5285271.722,1304.35,GF,0.19,2.7,BT,SOME,N,N,L,Y,Y,1
BR210B_WL01,cda,BR210B,SB,NO,535984.9509,5285266.733,1298.5,WL,0.29,11.2,BT,FULL,N,N,N,N,Y,0
